Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Review,Liked,sentiment,Cuisine,Restaurant_id
0,0,0.435,0.565,0.5994,0.002303252,0.010709432,0.986987352,Wow... Loved this place.,1,5 stars,Italian,0
1,0.445,0.555,0,-0.3412,0.964183331,0.032227986,0.00358859,Crust is not good.,0,2 stars,Italian,0
2,0.34,0.66,0,-0.5574,0.977226377,0.019545497,0.003228184,Not tasty and the texture was just nasty.,0,2 stars,Italian,0
3,0.093,0.585,0.322,0.6908,0.002214626,0.029860757,0.967924654,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,5 stars,Italian,0
4,0,0.728,0.272,0.6249,0.002389198,0.016415497,0.981195331,The selection on the menu was great and so were the prices.,1,5 stars,Italian,0
5,0.451,0.451,0.098,-0.6908,0.975816131,0.021742886,0.002441024,Now I am getting angry and I want my damn pho.,0,5 stars,Chinese,1
6,0,1,0,0,0.769338906,0.213488325,0.017172795,Honeslty it didn't taste THAT fresh.),0,2 stars,Chinese,1
7,0,0.802,0.198,0.5719,0.228632987,0.704014719,0.06735231,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,3 stars,Chinese,1
8,0,0.494,0.506,0.6249,0.002494062,0.02574756,0.971758366,The fries were great too.,1,5 stars,Chinese,1
9,0,0.196,0.804,0.6249,0.006675696,0.113917612,0.87940675,A great touch.,1,5 stars,Chinese,1
10,0,1,0,0,0.008721443,0.1567121,0.834566474,Service was very prompt.,1,5 stars,Chinese,1
11,0,1,0,0,0.273409784,0.563170969,0.163419247,Would not go back.,0,1 star,Indian,2
12,0.094,0.769,0.137,0.25,0.949936688,0.045759872,0.004303345,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,1 star,Indian,2
13,0,1,0,0,0.006251096,0.319417089,0.674331784,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,1 star,Italian,3
14,0.214,0.44,0.346,0.2732,0.925675273,0.069734648,0.004590109,I was disgusted because I was pretty sure that was human hair.,0,2 stars,Indian,4
15,0.429,0.571,0,-0.5423,0.621610761,0.359590471,0.018798823,I was shocked because no signs indicate cash only.,0,1 star,Indian,4
16,0,0.323,0.677,0.2716,0.005102564,0.093170837,0.901726663,Highly recommended.,1,5 stars,Indian,4
17,0,1,0,0,0.852734208,0.141009301,0.006256528,Waitress was a little slow in service.,0,3 stars,Indian,4
18,0.314,0.686,0,-0.3952,0.97225374,0.025094535,0.00265167,"This place is not worth your time, let alone Vegas.",0,1 star,Mexican,5
19,0.345,0.655,0,-0.2755,0.950729847,0.044627875,0.004642229,did not like at all.,0,1 star,Mexican,5
